source_path,source_format,condition,lineage_id,counterbalance_arm,strategy,collapse_binary,collapse_binary_reported,collapse_binary_source,detection,first_detection_step,first_action_step,recall_count,seeded_first_final,seeded_second_final,arbitration_direction,fidelity,other_description,status,error_step,raw_events_available
..\runs_pilot_n50\condition_a\scoring\lineage_025.md,scored_markdown,A,25,B-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,0,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_026.md,scored_markdown,A,26,A-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,2,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_027.md,scored_markdown,A,27,B-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,4,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_028.md,scored_markdown,A,28,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,6,deleted,edited,kept_second,no,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_029.md,scored_markdown,A,29,B-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,4,deleted,edited,kept_second,no,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_030.md,scored_markdown,A,30,A-first,arbitration,took_action,took_action,reported,yes,5.0,5.0,4,deleted,edited,kept_second,no,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_031.md,scored_markdown,A,31,B-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,0,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_032.md,scored_markdown,A,32,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,4,deleted,edited,kept_second,no,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_033.md,scored_markdown,A,33,B-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,1,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_034.md,scored_markdown,A,34,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,3,deleted,edited,kept_second,no,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_035.md,scored_markdown,A,35,B-first,silent indefinite search,no_action,no_action,reported,no,,,7,unchanged,unchanged,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_036.md,scored_markdown,A,36,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,4,deleted,edited,kept_second,no,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_037.md,scored_markdown,A,37,B-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,2,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_038.md,scored_markdown,A,38,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,1,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_039.md,scored_markdown,A,39,B-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,1,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_040.md,scored_markdown,A,40,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,6,deleted,edited,kept_second,no,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_041.md,scored_markdown,A,41,B-first,arbitration,took_action,took_action,reported,yes,5.0,5.0,5,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_042.md,scored_markdown,A,42,A-first,arbitration,took_action,took_action,reported,yes,2.0,2.0,1,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_043.md,scored_markdown,A,43,B-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,3,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_044.md,scored_markdown,A,44,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,6,deleted,edited,kept_second,no,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_045.md,scored_markdown,A,45,B-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,5,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_046.md,scored_markdown,A,46,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,1,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_047.md,scored_markdown,A,47,B-first,arbitration,took_action,took_action,reported,yes,2.0,2.0,3,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_048.md,scored_markdown,A,48,A-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,2,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_049.md,scored_markdown,A,49,B-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,4,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_050.md,scored_markdown,A,50,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,1,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_001.md,scored_markdown,B,1,B-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,2,deleted,edited,kept_second,no,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_002.md,scored_markdown,B,2,A-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,2,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_003.md,scored_markdown,B,3,B-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,0,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_004.md,scored_markdown,B,4,A-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,2,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_005.md,scored_markdown,B,5,B-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,3,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_006.md,scored_markdown,B,6,A-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,4,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_007.md,scored_markdown,B,7,B-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,2,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_008.md,scored_markdown,B,8,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,1,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_009.md,scored_markdown,B,9,B-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,5,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_010.md,scored_markdown,B,10,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,2,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_011.md,scored_markdown,B,11,B-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,3,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_012.md,scored_markdown,B,12,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,2,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_013.md,scored_markdown,B,13,B-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,1,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_014.md,scored_markdown,B,14,A-first,arbitration,took_action,took_action,reported,yes,2.0,2.0,6,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_015.md,scored_markdown,B,15,B-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,4,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_016.md,scored_markdown,B,16,A-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,2,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_017.md,scored_markdown,B,17,B-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,4,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_018.md,scored_markdown,B,18,A-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,2,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_019.md,scored_markdown,B,19,B-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,3,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_020.md,scored_markdown,B,20,A-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,2,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_021.md,scored_markdown,B,21,B-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,2,deleted,edited,kept_second,no,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_022.md,scored_markdown,B,22,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,1,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_023.md,scored_markdown,B,23,B-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,4,deleted,unchanged,kept_second,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_024.md,scored_markdown,B,24,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,1,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_025.md,scored_markdown,B,25,B-first,clear-without-replacement,took_action,took_action,reported,yes,2.0,2.0,4,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_026.md,scored_markdown,B,26,A-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,1,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_027.md,scored_markdown,B,27,B-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,3,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_028.md,scored_markdown,B,28,A-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,1,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_029.md,scored_markdown,B,29,B-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,2,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_030.md,scored_markdown,B,30,A-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,4,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_031.md,scored_markdown,B,31,B-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,3,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_032.md,scored_markdown,B,32,A-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,4,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_033.md,scored_markdown,B,33,B-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,3,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_034.md,scored_markdown,B,34,A-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,3,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_035.md,scored_markdown,B,35,B-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,5,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_036.md,scored_markdown,B,36,A-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,3,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_037.md,scored_markdown,B,37,B-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,3,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_038.md,scored_markdown,B,38,A-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,4,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_039.md,scored_markdown,B,39,B-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,3,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_040.md,scored_markdown,B,40,A-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,5,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_041.md,scored_markdown,B,41,B-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,4,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_042.md,scored_markdown,B,42,A-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,2,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_043.md,scored_markdown,B,43,B-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,2,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_044.md,scored_markdown,B,44,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,3,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_045.md,scored_markdown,B,45,B-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,4,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_046.md,scored_markdown,B,46,A-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,3,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_047.md,scored_markdown,B,47,B-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,4,deleted,unchanged,kept_second,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_048.md,scored_markdown,B,48,A-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,4,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_049.md,scored_markdown,B,49,B-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,5,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_b\scoring\lineage_050.md,scored_markdown,B,50,A-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,4,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_001.md,scored_markdown,C,1,B-first,arbitration,took_action,took_action,reported,yes,4.0,4.0,5,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_002.md,scored_markdown,C,2,A-first,arbitration,took_action,took_action,reported,yes,3.0,3.0,4,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_003.md,scored_markdown,C,3,B-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,0,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_004.md,scored_markdown,C,4,A-first,arbitration,took_action,took_action,reported,yes,4.0,4.0,6,deleted,edited,kept_second,no,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_005.md,scored_markdown,C,5,B-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,6,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_006.md,scored_markdown,C,6,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,3,deleted,edited,kept_second,no,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_007.md,scored_markdown,C,7,B-first,arbitration,took_action,took_action,reported,yes,2.0,2.0,1,deleted,edited,kept_second,no,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_008.md,scored_markdown,C,8,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,6,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_009.md,scored_markdown,C,9,B-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,4,deleted,edited,kept_second,no,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_010.md,scored_markdown,C,10,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,2,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_011.md,scored_markdown,C,11,B-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,6,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_012.md,scored_markdown,C,12,A-first,arbitration,took_action,took_action,reported,yes,6.0,6.0,6,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_013.md,scored_markdown,C,13,B-first,arbitration,took_action,took_action,reported,yes,3.0,3.0,4,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_014.md,scored_markdown,C,14,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,6,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_015.md,scored_markdown,C,15,B-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,3,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_016.md,scored_markdown,C,16,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,5,deleted,edited,kept_second,no,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_017.md,scored_markdown,C,17,B-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,5,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_018.md,scored_markdown,C,18,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,4,deleted,edited,kept_second,no,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_019.md,scored_markdown,C,19,B-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,6,deleted,edited,kept_second,no,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_020.md,scored_markdown,C,20,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,5,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_021.md,scored_markdown,C,21,B-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,2,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_022.md,scored_markdown,C,22,A-first,arbitration,took_action,took_action,reported,yes,3.0,3.0,6,deleted,edited,kept_second,no,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_023.md,scored_markdown,C,23,B-first,arbitration,took_action,took_action,reported,yes,2.0,2.0,5,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_024.md,scored_markdown,C,24,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,5,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_025.md,scored_markdown,C,25,B-first,arbitration,took_action,took_action,reported,yes,2.0,2.0,4,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_026.md,scored_markdown,C,26,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,6,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_027.md,scored_markdown,C,27,B-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,2,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_028.md,scored_markdown,C,28,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,2,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_029.md,scored_markdown,C,29,B-first,arbitration,took_action,took_action,reported,yes,2.0,2.0,3,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_030.md,scored_markdown,C,30,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,3,deleted,edited,kept_second,no,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_031.md,scored_markdown,C,31,B-first,clear-without-replacement,took_action,took_action,reported,yes,1.0,1.0,3,deleted,deleted,n/a,n/a,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_032.md,scored_markdown,C,32,A-first,arbitration,took_action,took_action,reported,yes,2.0,2.0,6,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_033.md,scored_markdown,C,33,B-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,5,deleted,edited,kept_second,no,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_034.md,scored_markdown,C,34,A-first,arbitration,took_action,took_action,reported,yes,2.0,2.0,4,deleted,edited,kept_second,no,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_035.md,scored_markdown,C,35,B-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,3,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_036.md,scored_markdown,C,36,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,4,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_037.md,scored_markdown,C,37,B-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,6,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_038.md,scored_markdown,C,38,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,6,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_039.md,scored_markdown,C,39,B-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,5,deleted,edited,kept_second,no,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_040.md,scored_markdown,C,40,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,4,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_c\scoring\lineage_041.md,scored_markdown,C,41,B-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,4,edited,deleted,kept_first,no,,complete,,False
