source_path,source_format,condition,lineage_id,counterbalance_arm,strategy,collapse_binary,collapse_binary_reported,collapse_binary_source,detection,first_detection_step,first_action_step,recall_count,seeded_first_final,seeded_second_final,arbitration_direction,fidelity,other_description,status,error_step,raw_events_available
..\runs_final_n100\condition_a\scoring\lineage_018.md,scored_markdown,A,18,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,5,deleted,edited,kept_second,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_019.md,scored_markdown,A,19,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,3.0,3.0,2,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_020.md,scored_markdown,A,20,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,1,edited,deleted,kept_first,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_021.md,scored_markdown,A,21,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,1,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_022.md,scored_markdown,A,22,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,5,edited,deleted,kept_first,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_023.md,scored_markdown,A,23,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,3.0,3.0,6,deleted,edited,kept_second,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_024.md,scored_markdown,A,24,A-first,clear-without-replacement,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,1.0,1.0,3,deleted,deleted,n/a,n/a,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_025.md,scored_markdown,A,25,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,2.0,2.0,6,edited,deleted,kept_first,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_026.md,scored_markdown,A,26,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,4,edited,deleted,kept_first,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_027.md,scored_markdown,A,27,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,2,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_028.md,scored_markdown,A,28,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,4,edited,deleted,kept_first,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_029.md,scored_markdown,A,29,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,3,deleted,edited,kept_second,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_030.md,scored_markdown,A,30,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,4,deleted,edited,kept_second,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_031.md,scored_markdown,A,31,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,0,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_032.md,scored_markdown,A,32,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,4.0,4.0,3,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_033.md,scored_markdown,A,33,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,0,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_034.md,scored_markdown,A,34,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,4.0,4.0,3,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_035.md,scored_markdown,A,35,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,0,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_036.md,scored_markdown,A,36,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,1,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_037.md,scored_markdown,A,37,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,2,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_038.md,scored_markdown,A,38,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,0,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_039.md,scored_markdown,A,39,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,0,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_040.md,scored_markdown,A,40,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,4,deleted,edited,kept_second,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_041.md,scored_markdown,A,41,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,0,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_042.md,scored_markdown,A,42,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,4,deleted,edited,kept_second,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_043.md,scored_markdown,A,43,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,0,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_044.md,scored_markdown,A,44,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,3.0,3.0,4,edited,deleted,kept_first,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_045.md,scored_markdown,A,45,B-first,other,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,1.0,1.0,4,edited,unchanged,n/a,n/a,"No decision-procedure rule matched. seeded_first_final=edited, seeded_second_final=unchanged, surviving_new=[]",complete,,False
..\runs_final_n100\condition_a\scoring\lineage_046.md,scored_markdown,A,46,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,5,deleted,edited,kept_second,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_047.md,scored_markdown,A,47,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,2,edited,deleted,kept_first,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_048.md,scored_markdown,A,48,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,2.0,2.0,1,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_049.md,scored_markdown,A,49,B-first,other,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,2.0,2.0,4,edited,unchanged,n/a,n/a,"No decision-procedure rule matched. seeded_first_final=edited, seeded_second_final=unchanged, surviving_new=[]",complete,,False
..\runs_final_n100\condition_a\scoring\lineage_050.md,scored_markdown,A,50,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,3.0,3.0,5,deleted,edited,kept_second,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_051.md,scored_markdown,A,51,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,6,edited,deleted,kept_first,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_052.md,scored_markdown,A,52,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,1,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_053.md,scored_markdown,A,53,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,1,edited,deleted,kept_first,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_054.md,scored_markdown,A,54,A-first,clear-without-replacement,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,1.0,1.0,4,deleted,deleted,n/a,n/a,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_055.md,scored_markdown,A,55,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,4,edited,deleted,kept_first,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_056.md,scored_markdown,A,56,A-first,other,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,2.0,2.0,4,edited,unchanged,n/a,n/a,"No decision-procedure rule matched. seeded_first_final=edited, seeded_second_final=unchanged, surviving_new=[]",complete,,False
..\runs_final_n100\condition_a\scoring\lineage_057.md,scored_markdown,A,57,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,2.0,2.0,4,deleted,edited,kept_second,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_058.md,scored_markdown,A,58,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,5,deleted,edited,kept_second,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_059.md,scored_markdown,A,59,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,2,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_060.md,scored_markdown,A,60,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,2.0,2.0,2,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_061.md,scored_markdown,A,61,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,2.0,2.0,2,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_062.md,scored_markdown,A,62,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,0,edited,deleted,kept_first,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_063.md,scored_markdown,A,63,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,3,edited,deleted,kept_first,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_064.md,scored_markdown,A,64,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,5,edited,deleted,kept_first,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_065.md,scored_markdown,A,65,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,2.0,2.0,5,edited,deleted,kept_first,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_066.md,scored_markdown,A,66,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,1,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_067.md,scored_markdown,A,67,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,6,edited,deleted,kept_first,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_068.md,scored_markdown,A,68,A-first,clear-without-replacement,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,3.0,3.0,3,deleted,deleted,n/a,n/a,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_069.md,scored_markdown,A,69,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,1,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_070.md,scored_markdown,A,70,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,2,deleted,edited,kept_second,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_071.md,scored_markdown,A,71,B-first,clear-without-replacement,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,1.0,1.0,3,deleted,deleted,n/a,n/a,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_072.md,scored_markdown,A,72,A-first,other,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,1.0,1.0,2,edited,unchanged,n/a,n/a,"No decision-procedure rule matched. seeded_first_final=edited, seeded_second_final=unchanged, surviving_new=[]",complete,,False
..\runs_final_n100\condition_a\scoring\lineage_073.md,scored_markdown,A,73,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,1,deleted,edited,kept_second,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_074.md,scored_markdown,A,74,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,3.0,3.0,5,deleted,edited,kept_second,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_075.md,scored_markdown,A,75,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,2,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_076.md,scored_markdown,A,76,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,2.0,2.0,4,edited,deleted,kept_first,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_077.md,scored_markdown,A,77,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,6,edited,deleted,kept_first,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_078.md,scored_markdown,A,78,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,2,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_079.md,scored_markdown,A,79,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,0,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_080.md,scored_markdown,A,80,A-first,clear-without-replacement,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,1.0,1.0,2,deleted,deleted,n/a,n/a,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_081.md,scored_markdown,A,81,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,2,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_082.md,scored_markdown,A,82,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,1,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_083.md,scored_markdown,A,83,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,0,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_084.md,scored_markdown,A,84,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,0,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_085.md,scored_markdown,A,85,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,2.0,2.0,4,deleted,edited,kept_second,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_086.md,scored_markdown,A,86,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,0,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_087.md,scored_markdown,A,87,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,1,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_088.md,scored_markdown,A,88,A-first,other,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,1.0,1.0,4,edited,unchanged,n/a,n/a,"No decision-procedure rule matched. seeded_first_final=edited, seeded_second_final=unchanged, surviving_new=[]",complete,,False
..\runs_final_n100\condition_a\scoring\lineage_089.md,scored_markdown,A,89,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,2.0,2.0,5,edited,deleted,kept_first,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_090.md,scored_markdown,A,90,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,3,edited,deleted,kept_first,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_091.md,scored_markdown,A,91,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,6,edited,deleted,kept_first,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_092.md,scored_markdown,A,92,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,3,deleted,edited,kept_second,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_093.md,scored_markdown,A,93,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,2.0,2.0,1,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_094.md,scored_markdown,A,94,A-first,other,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,1.0,1.0,6,edited,unchanged,n/a,n/a,"No decision-procedure rule matched. seeded_first_final=edited, seeded_second_final=unchanged, surviving_new=[]",complete,,False
..\runs_final_n100\condition_a\scoring\lineage_095.md,scored_markdown,A,95,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,3,edited,deleted,kept_first,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_096.md,scored_markdown,A,96,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,3,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_097.md,scored_markdown,A,97,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,3,deleted,edited,kept_second,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_098.md,scored_markdown,A,98,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,2.0,2.0,4,deleted,edited,kept_second,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_099.md,scored_markdown,A,99,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,2,edited,deleted,kept_first,no,,complete,,False
..\runs_final_n100\condition_a\scoring\lineage_100.md,scored_markdown,A,100,A-first,other,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,2.0,2.0,3,edited,unchanged,n/a,n/a,"No decision-procedure rule matched. seeded_first_final=edited, seeded_second_final=unchanged, surviving_new=[]",complete,,False
..\runs_final_n100\condition_b\scoring\lineage_001.md,scored_markdown,B,1,B-first,clear-without-replacement,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,1.0,1.0,1,deleted,deleted,n/a,n/a,,complete,,False
..\runs_final_n100\condition_b\scoring\lineage_002.md,scored_markdown,B,2,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,1,edited,deleted,kept_first,no,,complete,,False
..\runs_final_n100\condition_b\scoring\lineage_003.md,scored_markdown,B,3,B-first,clear-without-replacement,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,2.0,2.0,4,deleted,deleted,n/a,n/a,,complete,,False
..\runs_final_n100\condition_b\scoring\lineage_004.md,scored_markdown,B,4,A-first,clear-without-replacement,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,1.0,1.0,4,deleted,deleted,n/a,n/a,,complete,,False
..\runs_final_n100\condition_b\scoring\lineage_005.md,scored_markdown,B,5,B-first,clear-without-replacement,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,3.0,3.0,3,deleted,deleted,n/a,n/a,,complete,,False
..\runs_final_n100\condition_b\scoring\lineage_006.md,scored_markdown,B,6,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,1,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_final_n100\condition_b\scoring\lineage_007.md,scored_markdown,B,7,B-first,clear-without-replacement,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,1.0,1.0,3,deleted,deleted,n/a,n/a,,complete,,False
..\runs_final_n100\condition_b\scoring\lineage_008.md,scored_markdown,B,8,A-first,clear-without-replacement,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,1.0,1.0,3,deleted,deleted,n/a,n/a,,complete,,False
..\runs_final_n100\condition_b\scoring\lineage_009.md,scored_markdown,B,9,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,3,deleted,unchanged,kept_second,n/a,,complete,,False
..\runs_final_n100\condition_b\scoring\lineage_010.md,scored_markdown,B,10,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,4,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_final_n100\condition_b\scoring\lineage_011.md,scored_markdown,B,11,B-first,clear-without-replacement,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,1.0,1.0,5,deleted,deleted,n/a,n/a,,complete,,False
..\runs_final_n100\condition_b\scoring\lineage_012.md,scored_markdown,B,12,A-first,clear-without-replacement,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,1.0,1.0,3,deleted,deleted,n/a,n/a,,complete,,False
..\runs_final_n100\condition_b\scoring\lineage_013.md,scored_markdown,B,13,B-first,clear-without-replacement,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,3.0,3.0,3,deleted,deleted,n/a,n/a,,complete,,False
..\runs_final_n100\condition_b\scoring\lineage_014.md,scored_markdown,B,14,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,3,edited,deleted,kept_first,no,,complete,,False
..\runs_final_n100\condition_b\scoring\lineage_015.md,scored_markdown,B,15,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,6,deleted,edited,kept_second,no,,complete,,False
..\runs_final_n100\condition_b\scoring\lineage_016.md,scored_markdown,B,16,A-first,clear-without-replacement,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,1.0,1.0,3,deleted,deleted,n/a,n/a,,complete,,False
..\runs_final_n100\condition_b\scoring\lineage_017.md,scored_markdown,B,17,B-first,clear-without-replacement,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,1.0,1.0,4,deleted,deleted,n/a,n/a,,complete,,False
..\runs_final_n100\condition_b\scoring\lineage_018.md,scored_markdown,B,18,A-first,clear-without-replacement,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,1.0,1.0,1,deleted,deleted,n/a,n/a,,complete,,False
..\runs_final_n100\condition_b\scoring\lineage_019.md,scored_markdown,B,19,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,1,deleted,unchanged,kept_second,n/a,,complete,,False
