source_path,source_format,condition,lineage_id,counterbalance_arm,strategy,collapse_binary,collapse_binary_reported,collapse_binary_source,detection,first_detection_step,first_action_step,recall_count,seeded_first_final,seeded_second_final,arbitration_direction,fidelity,other_description,status,error_step,raw_events_available
..\runs_trial_n25\condition_a\scoring\lineage_014.md,scored_markdown,A,14,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,2,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_trial_n25\condition_a\scoring\lineage_015.md,scored_markdown,A,15,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,2,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_trial_n25\condition_a\scoring\lineage_016.md,scored_markdown,A,16,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,2,deleted,edited,kept_second,no,,complete,,False
..\runs_trial_n25\condition_a\scoring\lineage_017.md,scored_markdown,A,17,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,2,edited,deleted,kept_first,no,,complete,,False
..\runs_trial_n25\condition_a\scoring\lineage_018.md,scored_markdown,A,18,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,2.0,2.0,1,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_trial_n25\condition_a\scoring\lineage_019.md,scored_markdown,A,19,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,1,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_trial_n25\condition_a\scoring\lineage_020.md,scored_markdown,A,20,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,6,deleted,edited,kept_second,no,,complete,,False
..\runs_trial_n25\condition_a\scoring\lineage_021.md,scored_markdown,A,21,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,2,edited,deleted,kept_first,no,,complete,,False
..\runs_trial_n25\condition_a\scoring\lineage_022.md,scored_markdown,A,22,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,3.0,3.0,2,deleted,edited,kept_second,no,,complete,,False
..\runs_trial_n25\condition_a\scoring\lineage_023.md,scored_markdown,A,23,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,5,edited,deleted,kept_first,no,,complete,,False
..\runs_trial_n25\condition_a\scoring\lineage_024.md,scored_markdown,A,24,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,2,deleted,edited,kept_second,no,,complete,,False
..\runs_trial_n25\condition_a\scoring\lineage_025.md,scored_markdown,A,25,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,2.0,2.0,4,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_trial_n25\condition_b\scoring\lineage_001.md,scored_markdown,B,1,B-first,clear-without-replacement,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,1.0,1.0,4,deleted,deleted,n/a,n/a,,complete,,False
..\runs_trial_n25\condition_b\scoring\lineage_002.md,scored_markdown,B,2,A-first,clear-without-replacement,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,1.0,1.0,1,deleted,deleted,n/a,n/a,,complete,,False
..\runs_trial_n25\condition_b\scoring\lineage_003.md,scored_markdown,B,3,B-first,clear-without-replacement,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,1.0,1.0,3,deleted,deleted,n/a,n/a,,complete,,False
..\runs_trial_n25\condition_b\scoring\lineage_004.md,scored_markdown,B,4,A-first,clear-without-replacement,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,1.0,1.0,4,deleted,deleted,n/a,n/a,,complete,,False
..\runs_trial_n25\condition_b\scoring\lineage_005.md,scored_markdown,B,5,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,5,deleted,unchanged,kept_second,n/a,,complete,,False
..\runs_trial_n25\condition_b\scoring\lineage_006.md,scored_markdown,B,6,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,2,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_trial_n25\condition_b\scoring\lineage_007.md,scored_markdown,B,7,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,3,deleted,unchanged,kept_second,n/a,,complete,,False
..\runs_trial_n25\condition_b\scoring\lineage_008.md,scored_markdown,B,8,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,2,edited,deleted,kept_first,no,,complete,,False
..\runs_trial_n25\condition_b\scoring\lineage_009.md,scored_markdown,B,9,B-first,clear-without-replacement,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,1.0,1.0,4,deleted,deleted,n/a,n/a,,complete,,False
..\runs_trial_n25\condition_b\scoring\lineage_010.md,scored_markdown,B,10,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,4,edited,deleted,kept_first,no,,complete,,False
..\runs_trial_n25\condition_b\scoring\lineage_011.md,scored_markdown,B,11,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,1,deleted,unchanged,kept_second,n/a,,complete,,False
..\runs_trial_n25\condition_b\scoring\lineage_012.md,scored_markdown,B,12,A-first,clear-without-replacement,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,1.0,1.0,2,deleted,deleted,n/a,n/a,,complete,,False
..\runs_trial_n25\condition_b\scoring\lineage_013.md,scored_markdown,B,13,B-first,clear-without-replacement,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,1.0,1.0,4,deleted,deleted,n/a,n/a,,complete,,False
..\runs_trial_n25\condition_b\scoring\lineage_014.md,scored_markdown,B,14,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,3,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_trial_n25\condition_b\scoring\lineage_015.md,scored_markdown,B,15,B-first,clear-without-replacement,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,1.0,1.0,2,deleted,deleted,n/a,n/a,,complete,,False
..\runs_trial_n25\condition_b\scoring\lineage_016.md,scored_markdown,B,16,A-first,clear-without-replacement,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,1.0,1.0,3,deleted,deleted,n/a,n/a,,complete,,False
..\runs_trial_n25\condition_b\scoring\lineage_017.md,scored_markdown,B,17,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,2,deleted,unchanged,kept_second,n/a,,complete,,False
..\runs_trial_n25\condition_b\scoring\lineage_018.md,scored_markdown,B,18,A-first,clear-without-replacement,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,1.0,1.0,2,deleted,deleted,n/a,n/a,,complete,,False
..\runs_trial_n25\condition_b\scoring\lineage_019.md,scored_markdown,B,19,B-first,clear-without-replacement,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,1.0,1.0,3,deleted,deleted,n/a,n/a,,complete,,False
..\runs_trial_n25\condition_b\scoring\lineage_020.md,scored_markdown,B,20,A-first,clear-without-replacement,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,1.0,1.0,3,deleted,deleted,n/a,n/a,,complete,,False
..\runs_trial_n25\condition_b\scoring\lineage_021.md,scored_markdown,B,21,B-first,clear-without-replacement,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,1.0,1.0,2,deleted,deleted,n/a,n/a,,complete,,False
..\runs_trial_n25\condition_b\scoring\lineage_022.md,scored_markdown,B,22,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,3,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_trial_n25\condition_b\scoring\lineage_023.md,scored_markdown,B,23,B-first,clear-without-replacement,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,1.0,1.0,2,deleted,deleted,n/a,n/a,,complete,,False
..\runs_trial_n25\condition_b\scoring\lineage_024.md,scored_markdown,B,24,A-first,clear-without-replacement,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,1.0,1.0,4,deleted,deleted,n/a,n/a,,complete,,False
..\runs_trial_n25\condition_b\scoring\lineage_025.md,scored_markdown,B,25,B-first,clear-without-replacement,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,3.0,3.0,4,deleted,deleted,n/a,n/a,,complete,,False
..\runs_trial_n25\condition_c\scoring\lineage_001.md,scored_markdown,C,1,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,2,deleted,edited,kept_second,no,,complete,,False
..\runs_trial_n25\condition_c\scoring\lineage_002.md,scored_markdown,C,2,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,2,edited,deleted,kept_first,no,,complete,,False
..\runs_trial_n25\condition_c\scoring\lineage_003.md,scored_markdown,C,3,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,2.0,2.0,5,edited,deleted,kept_first,no,,complete,,False
..\runs_trial_n25\condition_c\scoring\lineage_004.md,scored_markdown,C,4,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,2.0,2.0,3,edited,deleted,kept_first,no,,complete,,False
..\runs_trial_n25\condition_c\scoring\lineage_005.md,scored_markdown,C,5,B-first,other,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,1.0,1.0,4,edited,unchanged,n/a,n/a,"No decision-procedure rule matched. seeded_first_final=edited, seeded_second_final=unchanged, surviving_new=[]",complete,,False
..\runs_trial_n25\condition_c\scoring\lineage_006.md,scored_markdown,C,6,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,3.0,3.0,6,edited,deleted,kept_first,no,,complete,,False
..\runs_trial_n25\condition_c\scoring\lineage_007.md,scored_markdown,C,7,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,2,edited,deleted,kept_first,no,,complete,,False
..\runs_trial_n25\condition_c\scoring\lineage_008.md,scored_markdown,C,8,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,1,deleted,edited,kept_second,no,,complete,,False
..\runs_trial_n25\condition_c\scoring\lineage_009.md,scored_markdown,C,9,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,4,edited,deleted,kept_first,no,,complete,,False
..\runs_trial_n25\condition_c\scoring\lineage_010.md,scored_markdown,C,10,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,4.0,4.0,5,deleted,edited,kept_second,no,,complete,,False
..\runs_trial_n25\condition_c\scoring\lineage_011.md,scored_markdown,C,11,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,2.0,2.0,4,edited,deleted,kept_first,no,,complete,,False
..\runs_trial_n25\condition_c\scoring\lineage_012.md,scored_markdown,C,12,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,6,deleted,edited,kept_second,no,,complete,,False
..\runs_trial_n25\condition_c\scoring\lineage_013.md,scored_markdown,C,13,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,2.0,2.0,4,edited,deleted,kept_first,no,,complete,,False
..\runs_trial_n25\condition_c\scoring\lineage_014.md,scored_markdown,C,14,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,5,deleted,edited,kept_second,no,,complete,,False
..\runs_trial_n25\condition_c\scoring\lineage_015.md,scored_markdown,C,15,B-first,silent indefinite search,no_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),no,,,7,unchanged,unchanged,n/a,n/a,,complete,,False
..\runs_trial_n25\condition_c\scoring\lineage_016.md,scored_markdown,C,16,A-first,consolidate-with-replacement,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,3.0,3.0,3,deleted,deleted,n/a,n/a,,complete,,False
..\runs_trial_n25\condition_c\scoring\lineage_017.md,scored_markdown,C,17,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,6,edited,deleted,kept_first,no,,complete,,False
..\runs_trial_n25\condition_c\scoring\lineage_018.md,scored_markdown,C,18,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,6,edited,deleted,kept_first,no,,complete,,False
..\runs_trial_n25\condition_c\scoring\lineage_019.md,scored_markdown,C,19,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,2,edited,deleted,kept_first,no,,complete,,False
..\runs_trial_n25\condition_c\scoring\lineage_020.md,scored_markdown,C,20,A-first,clear-without-replacement,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,1.0,1.0,4,deleted,deleted,n/a,n/a,,complete,,False
..\runs_trial_n25\condition_c\scoring\lineage_021.md,scored_markdown,C,21,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,6,deleted,edited,kept_second,no,,complete,,False
..\runs_trial_n25\condition_c\scoring\lineage_022.md,scored_markdown,C,22,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,2,edited,deleted,kept_first,no,,complete,,False
..\runs_trial_n25\condition_c\scoring\lineage_023.md,scored_markdown,C,23,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,2,edited,deleted,kept_first,no,,complete,,False
..\runs_trial_n25\condition_c\scoring\lineage_024.md,scored_markdown,C,24,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,2.0,2.0,1,edited,deleted,kept_first,no,,complete,,False
..\runs_trial_n25\condition_c\scoring\lineage_025.md,scored_markdown,C,25,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,1,unchanged,deleted,kept_first,n/a,,complete,,False
